DateTime,Load_kW,TimePeriodFlag
1/1/2024 0:00," 1,020.00 ",O
1/1/2024 1:00," 1,078.40 ",O
1/1/2024 2:00, 906.40 ,O
1/1/2024 3:00, 860.80 ,O
1/1/2024 4:00, 996.80 ,N
1/1/2024 5:00, 983.20 ,N
1/1/2024 6:00, 586.40 ,N
1/1/2024 7:00, 104.27 ,N
1/1/2024 8:00, 89.17 ,N
1/1/2024 9:00, 105.23 ,N
1/1/2024 10:00, 89.63 ,P
1/1/2024 11:00, 119.64 ,P
1/1/2024 12:00, 82.89 ,N
1/1/2024 13:00, 87.74 ,N
1/1/2024 14:00, 106.19 ,N
1/1/2024 15:00, 98.85 ,N
1/1/2024 16:00, 88.26 ,N
1/1/2024 17:00, 94.79 ,P
1/1/2024 18:00, 90.40 ,P
1/1/2024 19:00, 96.00 ,P
1/1/2024 20:00, 87.20 ,N
1/1/2024 21:00, 92.00 ,N
1/1/2024 22:00, 88.00 ,O
1/1/2024 23:00, 91.20 ,O
1/2/2024 0:00, 86.40 ,O
1/2/2024 1:00, 93.60 ,O
1/2/2024 2:00, 86.40 ,O
1/2/2024 3:00, 89.60 ,O
1/2/2024 4:00, 83.20 ,N
1/2/2024 5:00, 92.00 ,N
1/2/2024 6:00, 76.80 ,N
1/2/2024 7:00, 84.46 ,N
1/2/2024 8:00, 178.70 ,N
1/2/2024 9:00, 122.02 ,N
1/2/2024 10:00, 151.21 ,P
1/2/2024 11:00, 234.81 ,P
1/2/2024 12:00, 410.83 ,N
1/2/2024 13:00, 797.59 ,N
1/2/2024 14:00," 1,144.17 ",N
1/2/2024 15:00," 1,195.97 ",N
1/2/2024 16:00," 1,539.81 ",N
1/2/2024 17:00," 1,385.46 ",P
1/2/2024 18:00," 1,622.40 ",P
1/2/2024 19:00, 953.60 ,P
1/2/2024 20:00," 1,364.00 ",N
1/2/2024 21:00," 1,566.40 ",N
1/2/2024 22:00," 1,546.40 ",O
1/2/2024 23:00," 1,576.00 ",O
1/3/2024 0:00," 1,492.00 ",O
1/3/2024 1:00," 1,759.20 ",O
1/3/2024 2:00," 1,702.40 ",O
1/3/2024 3:00," 1,202.40 ",O
1/3/2024 4:00," 1,508.80 ",N
1/3/2024 5:00," 1,304.00 ",N
1/3/2024 6:00," 1,408.00 ",N
1/3/2024 7:00," 1,348.87 ",N
1/3/2024 8:00," 1,465.45 ",N
1/3/2024 9:00," 1,762.86 ",N
1/3/2024 10:00," 1,691.06 ",P
1/3/2024 11:00," 1,680.27 ",P
1/3/2024 12:00," 1,623.59 ",N
1/3/2024 13:00," 1,593.08 ",N
1/3/2024 14:00," 1,600.54 ",N
1/3/2024 15:00," 2,071.83 ",N
1/3/2024 16:00," 1,766.78 ",N
1/3/2024 17:00," 1,972.14 ",P
1/3/2024 18:00," 1,702.40 ",P
1/3/2024 19:00," 1,880.80 ",P
1/3/2024 20:00," 1,820.00 ",N
1/3/2024 21:00," 1,544.00 ",N
1/3/2024 22:00," 1,548.00 ",O
1/3/2024 23:00," 1,748.00 ",O
1/4/2024 0:00," 1,668.80 ",O
1/4/2024 1:00," 1,640.00 ",O
1/4/2024 2:00," 1,404.80 ",O
1/4/2024 3:00," 1,329.60 ",O
1/4/2024 4:00," 1,424.00 ",N
1/4/2024 5:00," 1,144.80 ",N
1/4/2024 6:00," 1,503.20 ",N
1/4/2024 7:00," 1,213.66 ",N
1/4/2024 8:00," 1,603.94 ",N
1/4/2024 9:00," 1,563.40 ",N
1/4/2024 10:00," 1,507.16 ",P
1/4/2024 11:00," 1,580.70 ",P
1/4/2024 12:00," 1,729.47 ",N
1/4/2024 13:00," 1,487.80 ",N
1/4/2024 14:00," 1,353.09 ",N
1/4/2024 15:00," 1,713.85 ",N
1/4/2024 16:00," 1,749.96 ",N
1/4/2024 17:00," 1,614.84 ",P
1/4/2024 18:00," 1,603.20 ",P
1/4/2024 19:00," 1,192.00 ",P
1/4/2024 20:00," 1,322.40 ",N
1/4/2024 21:00," 1,403.20 ",N
1/4/2024 22:00," 1,576.80 ",O
1/4/2024 23:00," 1,240.80 ",O
1/5/2024 0:00," 1,476.00 ",O
1/5/2024 1:00," 1,014.40 ",O
1/5/2024 2:00," 1,200.80 ",O
1/5/2024 3:00," 1,056.00 ",O
1/5/2024 4:00," 1,512.80 ",N
1/5/2024 5:00," 1,194.40 ",N
1/5/2024 6:00," 1,352.80 ",N
1/5/2024 7:00," 1,276.50 ",N
1/5/2024 8:00," 1,178.11 ",N
1/5/2024 9:00," 1,381.45 ",N
1/5/2024 10:00," 1,214.49 ",P
1/5/2024 11:00," 1,201.67 ",P
1/5/2024 12:00," 1,248.42 ",N
1/5/2024 13:00," 1,246.65 ",N
1/5/2024 14:00, 987.59 ,N
1/5/2024 15:00, 489.89 ,N
1/5/2024 16:00, 193.99 ,N
1/5/2024 17:00, 170.64 ,P
